trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 0.5, 'e': 0.023255813953488372}",20,4,27.278567888350597,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.022727272727272728}",25,0,31.05055770574233,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.022222222222222223}",25,0,11.164693605384763,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.021739130434782608}",25,0,21.840751767018165,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.02127659574468085}",30,7,-14.003497581819587,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 1}",1
48,False,"{'a': 0.5, 'e': 0.020833333333333332}",25,0,6.543281409762017,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.02040816326530612}",25,6,29.84677744651222,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.02}",35,0,44.70702047958224,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.0196078431372549}",30,1,-23.45928210606279,"{0: 26, 1: 0, 2: 2, 3: 0, 4: 1}",1
52,False,"{'a': 0.5, 'e': 0.019230769230769232}",30,23,-27.241093193314814,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
53,False,"{'a': 0.5, 'e': 0.018867924528301886}",25,12,25.92581400499621,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.018518518518518517}",25,0,-54.68756671499454,"{0: 22, 1: 0, 2: 0, 3: 2, 4: 1}",0
55,False,"{'a': 0.5, 'e': 0.01818181818181818}",20,0,10.108622275813445,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
56,False,"{'a': 0.5, 'e': 0.017857142857142856}",20,6,-34.39699500277082,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 1}",1
57,False,"{'a': 0.5, 'e': 0.017543859649122806}",20,0,25.286020830978913,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
58,False,"{'a': 0.5, 'e': 0.017241379310344827}",25,0,33.353561728109476,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.01694915254237288}",20,5,-24.15848568038445,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
60,False,"{'a': 0.5, 'e': 0.016666666666666666}",25,15,17.941826559259063,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.01639344262295082}",20,0,23.337666400422243,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.016129032258064516}",25,0,0.3774262694962722,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
63,False,"{'a': 0.5, 'e': 0.015873015873015872}",20,4,15.38444682440998,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.015625}",25,0,32.48933036409522,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
65,False,"{'a': 0.5, 'e': 0.015384615384615385}",20,4,26.11168850568978,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.015151515151515152}",20,0,28.0104553074533,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.014925373134328358}",25,0,32.3845852751647,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
68,False,"{'a': 0.5, 'e': 0.014705882352941176}",20,6,20.666331963049796,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.014492753623188406}",25,1,37.12424225605632,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.014285714285714285}",30,0,-4.841167385344587,"{0: 27, 1: 1, 2: 0, 3: 2, 4: 0}",0
